representation,total_duration_us,mean_op_duration_us,std_op_duration_us,total_ops,rotation_count,rescale_count,relin_count,bootstrap_count,start_level,end_level,level_drop,level_variance,unique_rotation_amounts,rotation_amount_entropy,peak_memory,kernel_count
ckks,45284.000000,5660.500000,12075.537208,8.000000,2.000000,1.000000,1.000000,0.000000,2.000000,1.000000,1.000000,0.277778,2.000000,1.000000,0.000000,0.000000
ckks,0.000000,0.000000,0.000000,5.000000,2.000000,1.000000,1.000000,0.000000,2.000000,1.000000,1.000000,0.266667,2.000000,1.000000,0.000000,0.000000
ckks,44808.000000,5601.000000,12050.709214,8.000000,2.000000,1.000000,1.000000,0.000000,2.000000,1.000000,1.000000,0.277778,2.000000,1.000000,0.000000,0.000000
ckks,43277.000000,5409.625000,11550.146937,8.000000,2.000000,1.000000,1.000000,0.000000,2.000000,1.000000,1.000000,0.277778,2.000000,1.000000,0.000000,0.000000
ckks,45582.000000,5697.750000,12481.863457,8.000000,2.000000,1.000000,1.000000,0.000000,2.000000,1.000000,1.000000,0.277778,2.000000,1.000000,0.000000,0.000000
ckks,43047.000000,5380.875000,11700.778148,8.000000,2.000000,1.000000,1.000000,0.000000,2.000000,1.000000,1.000000,0.277778,2.000000,1.000000,0.000000,0.000000
ckks,43150.000000,5393.750000,11730.952680,8.000000,2.000000,1.000000,1.000000,0.000000,2.000000,1.000000,1.000000,0.277778,2.000000,1.000000,0.000000,0.000000
ckks,43464.000000,5433.000000,11787.061769,8.000000,2.000000,1.000000,1.000000,0.000000,2.000000,1.000000,1.000000,0.277778,2.000000,1.000000,0.000000,0.000000
ckks,45264.000000,5658.000000,12450.000688,8.000000,2.000000,1.000000,1.000000,0.000000,2.000000,1.000000,1.000000,0.277778,2.000000,1.000000,0.000000,0.000000
ckks,42771.000000,5346.375000,11536.651234,8.000000,2.000000,1.000000,1.000000,0.000000,2.000000,1.000000,1.000000,0.277778,2.000000,1.000000,0.000000,0.000000
ckks,43118.000000,5389.750000,11655.586187,8.000000,2.000000,1.000000,1.000000,0.000000,2.000000,1.000000,1.000000,0.277778,2.000000,1.000000,0.000000,0.000000
ckks,44596.000000,4955.111111,11513.717649,9.000000,3.000000,1.000000,1.000000,0.000000,2.000000,1.000000,1.000000,0.277778,3.000000,1.584963,0.000000,0.000000
ckks,0.000000,0.000000,0.000000,6.000000,3.000000,1.000000,1.000000,0.000000,2.000000,1.000000,1.000000,0.238095,3.000000,1.584963,0.000000,0.000000
ckks,44896.000000,4988.444444,11601.979326,9.000000,3.000000,1.000000,1.000000,0.000000,2.000000,1.000000,1.000000,0.277778,3.000000,1.584963,0.000000,0.000000
ckks,43165.000000,4796.111111,11101.479321,9.000000,3.000000,1.000000,1.000000,0.000000,2.000000,1.000000,1.000000,0.277778,3.000000,1.584963,0.000000,0.000000
ckks,44262.000000,4918.000000,11279.377000,9.000000,3.000000,1.000000,1.000000,0.000000,2.000000,1.000000,1.000000,0.277778,3.000000,1.584963,0.000000,0.000000
ckks,44177.000000,4908.555556,11349.371515,9.000000,3.000000,1.000000,1.000000,0.000000,2.000000,1.000000,1.000000,0.277778,3.000000,1.584963,0.000000,0.000000
ckks,43826.000000,4869.555556,11263.806751,9.000000,3.000000,1.000000,1.000000,0.000000,2.000000,1.000000,1.000000,0.277778,3.000000,1.584963,0.000000,0.000000
ckks,43941.000000,4882.333333,11302.283442,9.000000,3.000000,1.000000,1.000000,0.000000,2.000000,1.000000,1.000000,0.277778,3.000000,1.584963,0.000000,0.000000
ckks,43540.000000,4837.777778,11123.606629,9.000000,3.000000,1.000000,1.000000,0.000000,2.000000,1.000000,1.000000,0.277778,3.000000,1.584963,0.000000,0.000000
ckks,43473.000000,4830.333333,11137.265789,9.000000,3.000000,1.000000,1.000000,0.000000,2.000000,1.000000,1.000000,0.277778,3.000000,1.584963,0.000000,0.000000
ckks,43412.000000,4823.555556,11172.340188,9.000000,3.000000,1.000000,1.000000,0.000000,2.000000,1.000000,1.000000,0.277778,3.000000,1.584963,0.000000,0.000000
ckks,42770.000000,3888.181818,9961.874842,11.000000,5.000000,1.000000,1.000000,0.000000,2.000000,1.000000,1.000000,0.265152,5.000000,2.321928,0.000000,0.000000
